carat,cut,color,clarity,depth,table,price
0.21,5,2,6,59.8,61.0,326
0.23,4,2,7,61.5,55.0,326
0.29,5,6,5,62.4,58.0,334
0.31,2,7,7,63.3,58.0,335
0.24,3,7,3,62.8,57.0,336
0.22,1,2,5,65.1,61.0,337
0.26,3,5,6,61.9,55.0,337
0.3,2,7,6,64.0,55.0,339
0.2,5,2,7,60.2,62.0,345
0.32,5,2,8,60.9,58.0,345
0.33,4,6,7,61.8,55.0,403
0.25,3,2,5,63.3,60.0,404
0.35,4,6,4,60.9,57.0,552
0.42,5,6,7,61.5,59.0,552
0.28,4,4,3,61.4,56.0,553
0.38,4,6,7,61.6,56.0,554
0.34,4,5,5,61.5,56.0,555
0.43,3,2,8,58.4,62.0,555
0.36,4,6,5,61.9,56.0,556
0.39,4,5,7,61.5,57.0,558
0.27,3,3,1,60.4,58.0,560
0.4,2,5,7,63.7,59.0,561
0.41,4,6,6,61.7,55.0,561
0.37,4,3,7,60.9,56.0,572
0.44,3,3,7,62.8,60.0,648
0.45,4,7,5,61.4,55.0,672
0.47,1,3,7,67.6,57.0,719
0.46,4,7,5,61.4,56.0,746
0.48,4,4,7,62.0,54.0,841
0.49,5,7,7,59.8,59.0,900
0.7,4,2,6,62.5,57.0,2457
0.86,1,2,7,55.1,69.0,2757
0.71,3,2,5,62.4,57.0,2380
0.78,3,4,7,63.8,56.0,2400
0.96,1,3,7,66.3,62.0,2759
0.73,3,2,6,61.6,59.0,2360
0.74,4,4,6,61.6,55.0,2418
0.75,3,1,6,63.2,56.0,2560
0.8,5,5,6,61.5,58.0,2660
0.59,4,2,3,62.0,55.0,2261
0.81,4,3,7,58.8,57.0,2761
0.9,5,6,5,63.0,58.0,2761
0.61,3,1,3,59.6,57.0,2310
0.77,4,5,5,62.0,56.0,2763
0.91,5,5,6,61.4,56.0,2763
0.63,5,2,2,60.9,60.0,2765
0.76,4,5,6,61.2,57.0,2765
0.64,4,4,2,61.9,56.0,2410
0.72,3,5,3,60.3,56.0,2771
0.79,4,3,7,61.9,55.0,2771
0.58,4,4,2,61.5,55.0,2100
0.6,4,2,4,61.7,55.0,2523
0.83,2,6,5,64.6,54.0,2774
1.17,3,7,8,60.2,61.0,2774
0.54,4,2,3,61.6,56.0,2089
0.98,1,5,7,67.9,60.0,2777
0.52,4,3,2,61.3,55.0,1950
1.01,5,3,8,61.8,60.0,2781
0.53,3,1,3,57.5,64.0,2156
0.84,1,4,6,55.1,67.0,2782
0.51,4,3,2,62.0,57.0,2001
0.55,4,4,1,60.9,57.0,2205
1.05,3,7,7,63.2,56.0,2789
0.87,3,6,6,63.6,55.8,2791
1.0,5,6,7,58.2,60.0,2795
0.57,4,3,3,61.9,55.0,1900
0.82,4,3,7,62.4,54.0,2499
1.04,5,4,8,62.2,58.0,2801
0.93,5,7,7,61.9,57.0,2807
